timestamp,machine_erp_ref,cycle_time_s,dosing_time_s,injection_time_s,cooling_time_s,cushion_mm,switchover_position_mm,switchover_pressure_bar,peak_pressure_bar,clamp_force_kn,mold_temperature_c,barrel_temp_zone1_c,barrel_temp_zone2_c,barrel_temp_zone3_c,oil_temperature_c,energy_kwh,scrap_flag
2026-07-27 11:00:00.000000,606,41.689,7.544,4.42,23.153,5.761,21.775,223.892,967.823,3157.719,69.077,227.168,246.268,231.547,56.526,2.027,0
2026-07-27 11:01:05.995165,606,40.911,7.859,3.317,24.096,6.249,20.265,221.388,1037.651,2537.039,65.33,228.73,253.265,231.415,55.538,2.231,0
2026-07-27 11:02:11.233375,606,41.864,7.605,4.869,24.618,6.026,20.798,234.215,942.759,3051.601,67.881,230.796,246.153,233.372,55.272,2.057,0
2026-07-27 11:03:19.480627,606,41.47,7.344,5.322,28.964,6.031,21.936,214.516,978.454,3311.533,60.685,230.028,243.156,232.253,54.792,1.817,0
2026-07-27 11:04:31.221625,606,42.176,7.654,4.006,26.355,6.168,21.325,208.714,966.653,2637.935,71.022,229.536,246.208,233.357,54.71,2.066,0
2026-07-27 11:05:44.570409,606,41.336,7.369,4.242,20.307,6.008,20.673,213.272,1044.112,3594.145,65.138,228.207,239.063,233.072,55.254,2.185,0
2026-07-27 11:06:57.527272,606,42.325,7.721,3.796,23.703,6.116,20.778,216.802,959.768,2683.162,66.022,228.139,243.324,234.921,55.478,2.342,0
2026-07-27 11:07:56.546482,606,41.005,7.618,6.019,28.959,6.059,21.649,226.417,965.37,3097.394,62.793,229.49,251.837,232.519,55.516,1.78,0
2026-07-27 11:08:50.709798,606,42.406,7.977,4.862,24.021,5.895,20.782,228.807,973.306,2704.845,56.915,225.714,240.853,233.875,55.7,2.488,0
2026-07-27 11:09:59.292798,606,41.014,7.474,5.614,28.165,6.266,21.833,214.507,895.032,3345.569,65.447,227.792,245.653,231.452,55.725,2.057,0
2026-07-27 11:11:09.501652,606,41.306,7.611,4.144,30.342,5.224,20.892,215.748,1029.861,3481.46,68.432,227.051,240.128,233.729,53.929,2.05,0
2026-07-27 11:12:19.472205,606,42.04,7.415,4.968,20.399,6.177,22.077,216.913,974.653,2889.726,64.018,227.178,238.89,234.015,55.224,1.813,0
2026-07-27 11:13:29.337179,606,42.771,7.527,3.166,22.805,5.694,21.851,220.332,958.264,3434.291,59.711,228.482,240.371,234.387,55.944,1.64,0
2026-07-27 11:14:39.567983,606,41.742,7.287,3.986,23.205,6.345,20.633,220.039,1011.535,3074.151,62.696,228.723,249.658,232.446,54.589,1.616,0
2026-07-27 11:15:45.653455,606,40.998,7.831,6.224,19.349,5.45,21.571,222.563,966.295,2916.8,68.095,226.944,244.249,234.13,54.34,2.511,0
2026-07-27 11:16:53.245983,606,40.531,7.559,4.845,26.894,5.841,20.066,213.406,991.5,2693.82,69.631,225.825,241.426,234.944,53.576,2.412,0
2026-07-27 11:18:02.026672,606,42.176,7.509,4.219,23.964,6.12,21.065,212.502,937.872,2784.202,70.301,229.414,241.42,232.398,54.262,2.185,0
2026-07-27 11:19:11.008314,606,42.524,7.728,2.934,18.373,5.959,21.008,213.929,947.902,3254.573,70.571,228.37,241.508,233.321,54.824,1.701,0
2026-07-27 11:20:15.955946,606,42.246,7.883,4.653,23.905,5.786,19.827,220.309,987.557,2783.228,59.105,227.734,243.105,233.618,55.898,1.981,0
2026-07-27 11:21:17.928826,606,41.784,8.068,4.142,20.794,6.329,19.777,211.463,950.731,3189.387,67.392,226.739,238.875,232.344,53.83,1.596,0
2026-07-27 11:22:17.881751,606,41.318,7.289,5.22,22.936,5.605,21.848,213.694,907.538,2908.413,66.149,228.432,244.653,232.674,55.93,1.84,0
2026-07-27 11:23:22.353590,606,41.956,7.675,3.264,16.022,6.03,20.981,223.59,1037.405,3440.344,63.115,226.925,247.027,232.311,55.067,1.568,0
2026-07-27 11:24:23.502286,606,41.875,7.739,5.256,22.481,5.812,21.114,230.289,914.962,2811.996,54.962,227.321,242.106,233.322,53.805,1.897,0
2026-07-27 11:25:29.422817,606,42.689,7.479,4.114,25.358,6.23,20.799,222.721,1012.754,2539.127,62.729,229.146,236.973,232.142,55.515,1.911,0
2026-07-27 11:26:38.735734,606,41.958,7.341,3.619,21.82,5.827,21.887,212.388,967.682,2643.46,74.873,228.742,243.583,231.728,55.529,1.829,0
2026-07-27 11:27:46.053532,606,42.143,7.794,4.657,18.025,6.002,19.952,224.846,1023.989,3132.99,66.925,228.59,237.315,235.479,55.182,1.751,0
2026-07-27 11:28:51.885129,606,41.64,7.272,6.045,22.838,5.909,21.593,215.993,978.137,2985.157,63.926,229.329,236.438,233.687,55.334,1.965,0
2026-07-27 11:30:00.123006,606,41.206,7.603,5.114,22.435,5.981,22.386,229.823,971.379,3004.134,60.105,226.558,245.489,231.647,55.59,2.158,0
2026-07-27 11:31:02.359136,606,41.679,7.326,4.763,27.392,6.045,20.439,223.017,996.355,3186.781,68.636,229.182,232.588,231.455,55.139,2.368,0
2026-07-27 11:32:11.569940,606,40.489,7.512,4.043,24.237,6.012,20.324,214.057,977.708,2664.013,74.204,229.175,243.183,229.981,55.746,1.814,0
2026-07-27 11:33:18.550519,606,41.689,7.113,5.704,22.354,5.982,21.272,220.844,985.621,2813.013,68.378,229.545,246.14,231.743,54.016,2.176,0
2026-07-27 11:34:22.307246,606,41.855,7.242,4.795,19.634,5.791,21.456,210.193,972.094,2877.887,58.324,228.493,251.566,231.37,55.292,2.17,0
2026-07-27 11:35:31.619093,606,41.419,7.048,2.822,22.875,6.07,20.103,221.217,1014.048,3041.605,59.633,228.106,235.431,232.959,55.303,2.109,0
2026-07-27 11:36:25.444420,606,41.877,8.167,5.147,28.423,5.647,20.751,218.14,947.758,2756.177,58.552,228.777,240.952,232.7,55.875,2.255,0
2026-07-27 11:37:31.588205,606,42.236,7.141,4.703,24.064,6.112,22.064,234.71,1036.768,2868.647,76.845,229.467,239.098,231.233,55.559,2.051,0
2026-07-27 11:38:35.900818,606,41.763,7.721,4.395,24.84,5.995,22.341,221.468,992.184,2849.237,66.499,228.056,244.583,234.055,54.682,2.002,0
2026-07-27 11:39:39.022650,606,41.65,7.311,5.553,16.074,5.328,20.887,220.42,1023.439,2562.707,69.051,229.185,238.343,231.252,55.48,2.174,0
2026-07-27 11:40:42.983212,606,41.502,6.906,3.87,25.568,6.058,21.093,203.292,946.928,2854.536,67.088,223.796,251.823,233.996,54.336,2.539,0
2026-07-27 11:41:51.113511,606,41.57,7.566,4.048,23.262,6.509,21.224,224.428,1062.125,3113.933,67.43,225.762,238.43,231.762,54.261,1.579,0
2026-07-27 11:42:55.729626,606,42.687,8.145,4.345,23.065,5.971,19.052,228.182,1002.732,2675.172,60.86,229.319,242.912,234.202,54.937,2.057,0
2026-07-27 11:44:06.715940,606,41.302,7.305,4.846,23.485,6.054,20.474,228.231,1059.848,2588.081,59.425,228.452,245.131,232.049,54.202,1.887,0
2026-07-27 11:45:07.429619,606,41.382,7.961,3.976,23.563,5.786,20.965,219.134,961.725,2898.625,58.512,228.568,244.779,232.043,54.801,1.707,0
2026-07-27 11:46:14.012974,606,42.172,7.992,3.648,22.277,6.712,22.642,215.691,931.342,2802.928,64.909,227.421,241.51,234.642,55.527,2.157,0
2026-07-27 11:47:15.963055,606,41.314,7.231,4.321,21.615,6.673,21.297,228.699,970.749,2465.738,62.293,225.771,235.484,231.482,55.737,1.918,0
2026-07-27 11:48:27.689777,606,42.139,7.068,4.065,19.072,6.52,22.022,219.393,1011.243,2458.67,62.083,229.566,241.397,234.51,54.149,1.874,0
2026-07-27 11:49:36.003211,606,41.232,7.304,5.894,21.965,6.63,20.868,219.747,1030.827,3263.068,65.586,228.94,235.924,232.58,53.341,2.101,0
2026-07-27 11:50:37.896390,606,41.695,7.772,2.742,26.114,5.736,21.315,217.681,952.098,2779.676,55.777,229.636,242.139,231.916,54.23,2.23,0
2026-07-27 11:51:46.526444,606,42.164,6.996,5.24,21.437,5.619,20.328,204.271,1023.615,3236.552,58.143,225.314,243.788,233.144,54.719,1.703,0
2026-07-27 11:52:57.408998,606,41.086,7.624,2.749,25.23,6.851,19.964,214.253,992.605,3165.765,71.248,229.356,240.317,233.563,56.838,2.068,0
2026-07-27 11:54:02.716973,606,42.066,7.524,4.418,20.001,5.952,20.207,220.687,1017.878,3457.117,72.596,229.246,240.607,231.559,54.426,2.403,0
2026-07-27 11:55:08.655262,606,42.15,7.336,3.564,19.207,5.751,20.686,224.197,928.668,3067.74,73.689,228.745,237.731,232.95,56.394,2.055,0
2026-07-27 11:56:16.106040,606,41.567,7.377,3.165,21.798,6.139,20.927,219.783,943.854,2816.167,63.409,228.114,253.69,233.371,55.597,1.979,0
2026-07-27 11:57:22.068751,606,42.341,7.455,5.607,25.59,5.665,20.546,223.772,920.671,3177.44,64.565,227.167,244.849,231.567,54.955,1.958,0
2026-07-27 11:58:32.889681,606,41.613,7.522,5.101,18.884,6.079,19.342,208.01,975.633,2390.404,71.2,228.737,237.365,234.002,54.874,1.446,0
2026-07-27 11:59:39.892493,606,41.648,7.91,4.534,27.969,5.752,21.453,213.318,1018.995,3256.586,56.178,227.438,237.97,233.966,55.945,1.491,0
2026-07-27 12:00:47.727769,606,42.058,7.396,4.592,28.985,6.272,20.363,236.118,1031.401,3506.433,63.81,228.93,244.423,233.37,54.548,2.279,0
2026-07-27 12:01:56.199115,606,42.317,7.476,3.832,24.981,5.738,20.965,224.948,947.568,2663.177,67.383,227.41,234.312,233.371,56.532,2.565,0
2026-07-27 12:03:03.500078,606,40.287,7.655,4.09,21.498,5.644,20.422,229.48,995.224,2926.269,63.469,227.673,239.086,233.149,55.48,2.458,0
2026-07-27 12:04:09.848180,606,40.659,7.252,3.895,21.671,5.718,21.637,218.098,994.772,3024.463,71.141,226.896,246.109,232.203,54.762,2.546,0
2026-07-27 12:05:14.614493,606,41.056,7.902,4.035,21.072,6.101,19.704,227.217,901.546,2890.866,65.564,227.97,246.552,233.17,55.132,1.923,0
