Machine;	1003 - 1003 2 NOYAUX
Moule;	M100321
Matière;	PA6-GF30
Ordre Fab.;	O0824120601331
Date début;	11.02.2025 08:00
Opérateur;	OP001
Logiciel;	Selogica V24.0

t007;t4015;t4012;t4018;V4062;V4065;p4072;p4071;f4090;f077;f1403
h:min;s;s;s;cm³;cm³;bar;bar;kN;-;-
08:00;7.862;29.059;1.982;4.038;51.407;1013.51;1193.965;978.428;1;1
08:00;8.905;28.178;1.872;4.17;53.567;1105.502;1220.947;971.594;1;2
08:01;8.375;26.677;1.773;4.057;50.837;1030.589;1200.766;989.53;1;3
08:01;8.384;27.511;1.795;4.403;53.053;984.511;1178.205;975.19;1;4
08:02;8.254;27.404;1.857;4.083;53.325;1037.512;1212.698;968.988;1;5
08:02;7.794;26.78;1.765;4.627;53.274;1066.631;1175.212;971.498;1;6
08:03;8.868;27.711;1.97;4.319;52.436;1074.548;1239.092;976.391;0;7
08:03;9.091;27.557;2.004;4.053;53.193;1078.612;1203.245;979.413;1;8
08:04;8.33;28.023;1.917;4.156;50.26;1062.293;1175.691;982.919;1;9
08:04;8.041;27.27;1.769;4.369;52.957;1072.031;1177.389;980.562;1;10
08:05;8.47;28.605;1.939;4.175;52.313;1091.603;1192.238;975.181;1;11
08:05;9.093;28.007;1.818;4.234;54.807;1032.728;1178.256;983.688;1;12
08:06;7.613;28.246;1.951;4.242;52.132;1105.776;1129.327;986.019;1;13
08:06;8.244;29.535;1.837;4.152;53.529;1016.9;1133.182;980.851;1;14
08:07;8.974;28.068;1.806;4.549;51.315;1093.161;1227.946;977.469;1;15
08:07;8.665;28.467;1.873;4.112;50.402;1043.655;1215.866;992.436;1;16
08:08;7.64;28.065;1.842;3.869;50.347;1088.524;1177.35;970.288;1;17
08:08;9.027;28.807;1.783;4.403;53.204;999.458;1267.642;981.912;1;18
08:09;8.042;30.261;1.879;3.987;54.772;1092.635;1163.26;971.694;1;19
08:09;8.755;30.041;1.822;4.561;49.485;1088.18;1184.105;983.639;1;20
08:09;8.128;28.114;1.802;4.413;52.431;1061.318;1129.052;983.223;1;21
08:10;8.165;27.323;1.781;4.059;51.952;1116.196;1169.588;967.456;1;22
08:10;8.541;27.246;1.854;4.155;50.02;1003.103;1206.82;974.655;1;23
08:11;8.35;29.363;1.908;4.084;51.027;1043.241;1244.82;972.574;1;24
08:11;8.777;29.704;1.851;4.485;51.963;1103.919;1185.343;971.709;1;25
08:12;7.873;27.277;1.813;4.155;51.371;1034.364;1133.386;980.264;1;26
08:12;7.992;27.262;1.825;4.391;53.403;1000.129;1143.026;989.097;1;27
08:13;8.331;27.146;1.77;4.206;50.669;1027.284;1158.244;982.837;1;28
08:13;7.782;28.047;1.799;4.073;54.138;1013.983;1118.966;956.58;1;29
08:14;8.603;28.713;1.788;4.028;50.793;1047.278;1191.64;981.906;1;30
08:14;7.109;29.391;1.94;3.88;53.599;1071.824;1205.223;987.473;1;31
08:15;7.881;29.007;1.871;4.139;54.396;1064.49;1188.656;978.637;1;32
08:15;8.048;29.248;1.882;4.219;52.712;984.746;1198.409;987.243;1;33
08:16;8.186;26.778;1.906;4.183;52.952;1016.912;1156.498;981.672;1;34
08:16;8.104;27.272;1.915;4.0;51.408;1096.547;1170.235;985.584;1;35
08:17;7.478;27.731;1.763;4.27;52.308;1126.892;1212.48;994.34;1;36
08:17;7.837;29.736;1.938;4.238;50.552;1045.392;1251.097;988.213;1;37
08:18;8.181;29.054;1.886;4.065;53.51;997.405;1156.036;980.594;1;38
08:18;8.328;28.866;1.914;4.291;53.731;1073.696;1148.372;981.203;1;39
08:18;8.081;29.217;1.753;4.266;51.914;1001.616;1179.473;977.194;1;40
08:19;8.982;28.393;1.841;4.326;52.325;989.438;1145.261;968.213;1;41
08:19;8.486;28.847;1.922;4.293;50.976;1024.282;1204.974;988.638;1;42
08:20;7.723;28.167;1.946;4.446;52.673;1096.267;1178.898;981.19;1;43
08:20;9.381;29.394;1.901;4.416;53.283;1099.491;1170.187;994.467;1;44
08:21;7.569;29.637;1.814;4.128;52.278;1037.459;1183.453;977.357;1;45
08:21;8.39;28.995;1.772;4.468;51.558;1030.337;1208.097;958.486;1;46
08:22;8.424;27.754;1.908;3.922;52.581;1088.971;1190.018;992.762;1;47
08:22;8.381;30.178;1.888;4.419;52.89;1007.274;1142.721;976.393;1;48
08:23;8.054;28.345;1.877;4.001;53.544;1081.964;1134.341;971.565;0;49
08:23;8.611;26.565;1.834;4.298;53.392;1025.713;1134.886;985.141;1;50
08:24;8.818;28.401;1.86;4.253;52.121;1095.591;1179.129;978.19;1;51
08:24;8.578;27.97;1.858;4.101;49.84;1012.141;1145.044;977.727;1;52
08:25;8.529;28.412;1.976;4.004;53.761;1122.501;1248.744;998.682;1;53
08:25;8.258;28.305;1.84;4.251;51.419;996.442;1241.832;970.356;1;54
08:26;7.458;29.255;1.825;4.357;50.787;1045.556;1232.198;966.179;1;55
08:26;8.311;29.915;1.874;4.444;53.224;1047.095;1192.414;973.279;1;56
08:27;8.192;26.925;1.864;4.234;50.766;1021.536;1198.892;986.539;0;57
08:27;7.801;27.684;1.787;4.065;51.659;1000.801;1219.209;987.422;1;58
08:28;7.396;26.085;1.9;4.247;53.77;1061.92;1207.618;960.915;1;59
08:28;7.834;28.671;1.91;4.193;49.94;1079.399;1225.998;978.651;1;60
08:29;8.042;27.011;1.848;3.984;53.634;1043.464;1160.159;980.475;1;61
08:29;7.501;27.974;1.887;4.191;52.374;1052.571;1161.975;979.291;1;62
08:29;8.606;29.969;1.842;3.87;53.604;1024.376;1182.788;968.702;1;63
08:30;7.502;28.57;1.857;4.186;52.955;1096.053;1128.705;972.434;1;64
08:30;8.238;27.37;1.901;4.158;53.41;971.23;1173.049;975.614;1;65
08:31;8.097;27.71;1.827;4.25;52.591;1005.002;1139.051;987.155;1;66
08:31;8.328;27.162;1.827;4.404;53.368;1057.508;1212.332;971.418;1;67
08:32;8.139;27.92;1.742;4.303;51.6;977.86;1214.99;989.341;1;68
08:32;8.25;29.506;1.822;4.306;52.282;1048.536;1168.599;979.887;1;69
08:33;8.555;27.593;1.919;4.079;52.874;1097.765;1153.462;979.275;1;70
08:33;7.751;29.41;1.831;4.198;52.395;1024.428;1157.529;978.177;1;71
08:34;7.613;28.739;1.866;4.536;52.976;998.834;1162.447;988.278;1;72
08:34;7.958;29.158;1.845;4.204;52.118;1017.93;1160.171;982.386;1;73
08:35;8.716;27.764;1.93;3.809;50.294;1067.673;1228.917;993.932;1;74
08:35;8.528;28.058;1.936;4.005;53.795;997.004;1230.878;981.15;1;75
08:36;7.985;28.932;1.894;4.437;53.518;1083.589;1149.799;996.059;1;76
08:36;8.063;26.917;1.778;4.388;51.772;1133.392;1203.767;976.508;1;77
08:37;8.425;28.089;1.82;4.37;51.612;998.956;1132.57;982.458;1;78
08:37;8.763;28.45;1.798;4.313;51.649;979.625;1242.263;985.598;1;79
08:37;7.93;28.62;1.789;4.338;52.36;1106.755;1135.013;976.515;1;80
08:38;8.535;28.939;1.72;4.111;49.821;1097.422;1188.013;981.283;1;81
08:38;8.652;29.833;1.816;4.434;51.779;1055.229;1192.375;980.515;1;82
08:39;8.236;28.407;1.731;4.214;51.612;994.725;1194.52;965.139;1;83
08:39;8.472;28.116;1.951;3.9;49.642;981.652;1172.959;976.712;1;84
08:40;7.491;28.628;1.783;3.968;52.966;1035.7;1157.652;989.385;1;85
08:40;7.952;28.972;1.764;4.046;51.126;997.049;1244.02;989.317;1;86
08:41;8.431;27.529;1.782;4.232;51.635;1070.554;1112.729;977.24;1;87
08:41;7.696;28.523;1.858;4.05;53.541;991.241;1243.334;970.189;1;88
08:42;8.088;29.372;1.89;4.304;52.185;1066.114;1194.432;978.936;1;89
08:42;8.588;27.881;1.77;4.253;52.745;1027.104;1174.207;971.468;1;90
08:43;8.49;27.431;1.853;4.197;51.551;1081.131;1187.214;984.419;1;91
08:43;7.679;27.675;1.862;4.153;51.782;1048.881;1164.459;987.967;1;92
08:44;8.834;26.365;1.819;4.486;53.136;1060.847;1178.859;991.014;1;93
08:44;7.54;29.055;1.938;4.133;51.493;1097.711;1131.794;993.997;1;94
08:45;8.479;28.416;1.851;4.097;51.771;1092.034;1193.426;985.084;1;95
08:45;8.561;27.735;1.818;4.141;50.196;1015.663;1246.438;979.762;1;96
08:46;8.294;26.899;1.835;4.204;50.538;1065.314;1183.995;989.03;1;97
08:46;7.94;28.22;1.792;3.948;52.098;1068.475;1192.092;975.239;1;98
08:47;8.153;28.491;1.791;4.103;53.676;1015.021;1178.572;976.257;1;99
08:47;7.99;28.544;1.782;4.264;54.305;1095.541;1209.429;980.099;1;100
08:48;7.545;26.814;1.931;4.522;51.932;1087.199;1132.397;987.062;1;101
08:48;8.518;29.406;1.865;4.321;54.908;1081.306;1168.217;988.684;1;102
08:48;7.703;30.079;1.855;4.179;52.213;1018.172;1186.923;984.494;1;103
08:49;7.397;28.916;1.908;3.897;50.634;1019.745;1155.258;988.783;1;104
08:49;7.932;27.003;1.733;4.171;54.453;1004.614;1199.774;972.606;1;105
08:50;8.572;29.084;1.817;4.254;53.444;1104.704;1221.591;974.354;1;106
08:50;8.324;27.817;1.844;4.284;50.825;1006.998;1178.454;977.635;1;107
08:51;8.574;28.496;1.811;3.968;51.717;1093.736;1229.111;986.205;1;108
08:51;8.643;28.577;1.877;4.169;52.24;1046.322;1194.815;969.786;1;109
08:52;8.148;29.387;1.834;4.03;51.456;1069.564;1181.069;974.565;1;110
08:52;8.366;28.996;1.821;4.389;50.808;1065.809;1201.378;980.607;1;111
08:53;8.366;28.164;1.929;4.42;52.619;1034.006;1251.572;983.579;1;112
08:53;8.108;29.314;1.771;4.369;51.648;1037.841;1149.669;990.318;1;113
08:54;8.124;28.474;1.896;3.942;52.608;1014.217;1237.63;967.276;1;114
08:54;8.826;28.317;1.799;4.431;51.464;1005.591;1176.537;987.201;1;115
08:55;8.322;27.236;1.76;4.057;52.586;1002.492;1200.373;984.186;1;116
08:55;8.448;29.277;1.778;4.325;51.945;1087.641;1123.632;998.002;1;117
08:56;8.672;27.302;1.85;4.125;52.215;1027.236;1182.165;970.475;1;118
08:56;8.236;29.528;1.875;4.053;51.158;987.509;1163.091;977.781;1;119
08:57;8.713;29.706;1.814;4.029;50.079;1013.175;1181.669;981.295;1;120
08:57;7.77;29.659;1.918;4.446;54.03;1090.015;1160.115;991.271;1;121
08:58;7.678;28.044;1.942;4.043;54.354;1062.013;1074.0;978.701;1;122
08:58;9.152;26.645;1.847;4.225;54.117;1038.044;1155.677;977.736;1;123
08:58;8.595;29.787;1.751;4.14;50.498;1030.012;1142.836;972.684;1;124
08:59;8.153;27.889;1.793;4.589;51.94;1022.03;1181.444;976.95;1;125
08:59;7.776;27.945;1.759;3.922;51.169;1110.833;1171.432;982.052;1;126
09:00;7.943;28.437;1.928;4.367;52.178;1023.082;1201.807;979.367;1;127
09:00;7.909;29.289;1.782;4.126;53.197;1004.112;1122.216;983.14;1;128
09:01;8.75;27.943;1.933;4.309;51.101;1085.149;1122.947;978.011;1;129
09:01;9.111;28.72;1.839;3.735;52.344;1083.524;1146.895;982.914;1;130
09:02;7.576;30.021;1.802;4.148;52.008;1053.954;1200.279;974.675;1;131
09:02;8.753;29.638;1.857;4.243;54.577;1044.573;1180.794;980.428;1;132
09:03;8.214;27.147;1.934;4.01;53.681;1052.74;1176.906;986.628;1;133
09:03;7.75;28.8;1.838;3.994;50.603;1004.052;1193.143;983.141;1;134
09:04;7.972;28.254;1.9;3.927;51.319;1028.556;1136.079;994.981;1;135
09:04;7.716;29.302;1.748;4.334;52.348;1031.413;1167.616;983.113;1;136
09:05;8.904;26.745;1.942;3.756;53.226;1102.577;1155.414;973.566;1;137
09:05;8.637;28.287;1.84;4.138;51.302;1014.698;1172.311;979.752;1;138
09:06;8.858;28.433;1.931;4.49;52.693;1053.137;1233.813;987.381;1;139
09:06;7.915;28.18;1.724;4.079;51.536;1145.79;1205.103;984.866;1;140
09:07;8.108;28.506;1.855;4.381;52.023;1024.511;1150.904;971.517;1;141
09:07;8.547;28.44;1.888;4.296;51.385;1117.867;1151.263;984.552;1;142
09:08;8.158;28.724;1.862;4.11;51.158;1069.316;1207.018;977.91;1;143
09:08;7.383;28.693;1.915;4.297;51.909;1102.271;1208.495;984.738;1;144
09:08;8.651;27.744;1.885;4.364;51.249;1017.14;1199.672;980.046;1;145
09:09;8.148;27.858;1.751;3.967;53.321;978.082;1150.986;989.38;1;146
09:09;8.621;28.423;1.884;4.095;50.237;1003.391;1214.018;973.13;1;147
09:10;8.218;28.539;1.847;4.122;52.074;1039.776;1157.111;977.507;1;148
09:10;7.587;28.174;1.831;4.001;52.312;1093.797;1168.704;975.083;1;149
09:11;8.745;28.676;1.874;4.008;50.37;1018.529;1168.595;981.847;1;150
09:11;8.686;27.552;1.961;4.144;51.426;1093.187;1199.549;976.208;1;151
09:12;7.61;27.764;1.711;4.351;51.786;1040.261;1154.513;990.306;0;152
09:12;8.245;28.253;1.82;4.41;53.048;1040.627;1157.463;982.055;1;153
09:13;9.018;29.026;1.838;4.259;54.842;1033.544;1226.18;978.974;1;154
09:13;7.653;28.236;1.914;3.868;51.836;1056.092;1241.125;970.045;1;155
09:14;7.809;26.992;1.82;4.452;51.435;1027.487;1230.512;990.096;1;156
09:14;7.476;28.537;1.917;3.947;53.496;990.425;1188.01;971.328;1;157
09:15;8.754;28.176;1.829;3.99;50.52;1088.191;1206.621;987.351;1;158
09:15;7.837;27.314;1.732;4.035;50.697;993.019;1239.321;978.384;1;159
09:16;7.909;27.987;1.908;4.284;53.918;974.374;1192.838;978.489;1;160
09:16;8.026;28.279;1.902;4.311;54.119;1050.319;1230.17;991.172;1;161
09:17;8.26;28.436;1.88;4.311;49.952;1027.039;1214.715;971.848;1;162
09:17;7.756;27.643;1.799;4.408;51.048;1116.736;1239.912;981.237;1;163
09:18;8.746;28.459;1.769;4.142;50.776;1107.892;1209.685;961.578;1;164
09:18;8.046;27.887;1.863;4.299;53.925;1121.757;1216.46;994.77;1;165
09:18;8.831;28.404;1.938;3.971;53.344;1058.633;1177.27;971.608;1;166
09:19;7.663;28.872;1.961;4.141;50.655;1024.247;1203.727;987.777;1;167
09:19;7.388;29.022;1.816;4.497;53.361;1063.758;1203.703;989.905;1;168
09:20;7.892;28.727;1.751;3.961;52.978;1041.876;1161.652;979.97;1;169
09:20;8.075;27.603;1.849;4.135;52.363;1009.129;1191.927;972.26;1;170
09:21;7.817;27.567;1.766;4.03;52.166;1062.405;1146.663;991.207;1;171
09:21;8.948;29.091;1.937;4.172;51.572;1125.092;1186.964;976.948;1;172
09:22;8.701;29.659;1.902;4.224;51.784;1085.404;1232.824;974.16;1;173
09:22;8.735;30.111;1.819;4.043;51.459;1033.439;1104.129;976.205;1;174
09:23;7.356;28.295;1.874;4.116;53.096;1043.546;1216.609;980.89;1;175
09:23;7.467;28.683;1.782;4.32;53.786;1048.312;1148.347;979.857;1;176
09:24;7.175;29.648;1.869;4.122;51.67;1075.318;1119.434;986.487;1;177
09:24;8.228;27.182;1.933;4.006;52.366;1107.005;1218.015;969.942;1;178
09:25;8.605;30.089;1.873;4.418;51.507;1071.486;1161.374;977.177;1;179
09:25;7.79;28.014;1.789;4.136;50.319;993.013;1247.797;974.806;1;180
09:26;7.611;29.315;1.827;4.191;52.774;984.073;1104.699;983.075;1;181
09:26;7.982;29.432;1.899;4.025;54.441;983.291;1167.315;987.519;1;182
09:27;8.323;29.509;1.833;4.097;50.982;1102.537;1166.478;989.402;1;183
09:27;8.098;27.07;1.807;4.118;51.09;1011.404;1170.051;974.252;1;184
09:28;7.885;29.127;1.826;4.261;52.635;993.022;1171.267;971.956;1;185
09:28;8.512;28.468;1.822;4.142;50.388;1102.705;1195.672;985.766;1;186
09:29;7.471;28.227;1.913;4.137;52.989;1082.626;1176.951;966.18;1;187
09:29;7.597;30.333;1.733;4.192;52.055;1057.571;1213.102;982.299;1;188
09:29;8.172;28.299;1.943;4.032;51.213;1057.525;1169.364;969.79;1;189
09:30;8.128;28.645;1.874;4.124;52.484;1080.827;1169.214;991.817;1;190
09:30;7.798;29.646;1.823;4.327;50.167;1033.931;1138.636;981.102;1;191
09:31;8.132;29.222;1.91;4.433;50.127;1040.423;1200.459;982.572;1;192
09:31;7.431;27.035;1.908;4.133;52.862;1018.726;1173.324;980.482;1;193
09:32;8.546;28.547;1.863;4.083;51.446;1055.015;1151.696;995.76;1;194
09:32;8.545;28.218;1.789;3.986;52.524;1008.918;1157.346;988.68;1;195
09:33;8.613;28.048;1.717;4.05;50.906;1033.109;1231.944;984.366;1;196
09:33;8.546;28.387;1.861;4.167;52.216;1054.257;1128.632;972.973;1;197
09:34;7.603;27.861;1.863;4.357;50.822;1008.31;1228.674;981.179;1;198
09:34;7.204;26.77;1.931;4.255;53.553;1086.393;1172.754;982.456;1;199
09:35;8.232;30.152;1.923;4.39;53.498;1092.191;1202.949;991.415;1;200
