Timestamp,t_cycle,t_dos,t_inj,v_mat,v_sw,p_sw,p_max,f_clamp,n_good,n_cycle
2025-02-11 14:00:34,35.643,9.123,2.238,6.311,67.67,833.742,926.741,2677.459,1,1
2025-02-11 14:01:09,35.8,9.664,2.016,6.651,66.506,858.786,933.904,2714.755,1,2
2025-02-11 14:01:46,37.264,8.695,2.1,6.67,69.437,880.365,938.161,2725.363,1,3
2025-02-11 14:02:20,36.232,9.461,2.241,6.508,67.569,835.969,912.62,2648.199,1,4
2025-02-11 14:02:56,34.865,9.273,2.053,6.26,68.878,840.454,895.728,2725.75,1,5
2025-02-11 14:03:30,34.267,9.231,2.014,6.586,65.051,836.935,913.526,2696.6,1,6
2025-02-11 14:04:03,35.888,9.337,2.088,6.758,69.967,879.204,937.995,2675.588,1,7
2025-02-11 14:04:39,34.395,9.602,2.122,6.588,70.872,849.938,939.301,2715.002,1,8
2025-02-11 14:05:14,35.605,9.207,2.021,6.385,67.362,808.539,948.514,2668.796,1,9
2025-02-11 14:05:49,34.142,8.721,2.106,6.465,69.127,791.121,948.956,2686.479,1,10
2025-02-11 14:06:24,34.893,8.675,1.983,6.362,71.272,900.992,963.481,2722.581,1,11
2025-02-11 14:06:58,35.418,8.338,1.96,6.653,68.038,853.515,888.583,2717.446,1,12
2025-02-11 14:07:34,37.912,9.993,2.014,6.004,65.641,832.621,871.621,2702.985,1,13
2025-02-11 14:08:09,35.218,9.125,2.025,6.248,66.559,827.058,943.773,2665.831,1,14
2025-02-11 14:08:45,33.754,8.709,2.172,6.313,67.082,811.055,926.989,2690.635,1,15
2025-02-11 14:09:20,35.909,9.316,1.946,6.622,69.159,878.849,915.526,2709.021,1,16
2025-02-11 14:09:54,34.93,9.038,2.072,6.782,72.04,836.271,878.237,2688.1,1,17
2025-02-11 14:10:30,36.574,9.083,2.188,6.351,69.557,858.693,894.067,2725.166,1,18
2025-02-11 14:11:04,34.163,8.695,2.133,6.585,67.987,812.278,888.758,2677.318,1,19
2025-02-11 14:11:39,35.949,8.729,2.087,6.09,66.083,838.474,919.769,2671.551,1,20
2025-02-11 14:12:15,36.343,8.765,1.984,6.267,64.764,830.534,913.883,2724.76,1,21
2025-02-11 14:12:49,36.93,8.966,2.094,6.373,66.136,885.937,875.016,2677.814,1,22
2025-02-11 14:13:24,34.786,9.411,2.022,6.667,68.724,826.76,868.373,2706.747,1,23
2025-02-11 14:13:59,36.758,9.14,2.017,6.424,66.969,915.475,925.391,2720.374,1,24
