timestamp,machine_erp_ref,production_order_id,cycle_counter,cycle_time_s,dosing_time_s,injection_time_s,cooling_time_s,cushion_mm,switchover_position_mm,switchover_pressure_bar,peak_pressure_bar,clamp_force_kn,mold_temperature_c,barrel_temp_zone1_c,barrel_temp_zone2_c,barrel_temp_zone3_c,oil_temperature_c,energy_kwh,good_part,scrap_flag,quality_flag
2025-02-10 06:37:00.000000,1003,OF-2025-0004,1,30.4,7.5,3.0,15.1,4.6,19.4,169.0,863.0,1270.0,60.9,201.7,224.5,224.4,54.3,1.179,True,0,good
2025-02-10 06:37:30.082925,1003,OF-2025-0004,2,29.8,7.1,2.0,15.2,4.4,16.1,183.0,810.0,1504.0,60.7,206.1,228.1,212.9,54.6,0.863,True,0,good
2025-02-10 06:38:00.600729,1003,OF-2025-0004,3,29.7,7.6,3.2,13.0,4.5,17.0,156.0,834.0,1300.0,63.4,196.5,232.5,224.9,54.9,0.859,True,0,good
2025-02-10 06:38:30.199787,1003,OF-2025-0004,4,29.7,5.6,3.3,17.9,4.9,18.0,177.0,852.0,1276.0,60.3,200.6,224.1,221.8,48.9,0.97,True,0,good
2025-02-10 06:39:00.094561,1003,OF-2025-0004,5,30.3,8.0,4.0,13.9,5.8,15.4,170.0,832.0,1344.0,64.1,203.7,221.8,213.6,50.2,0.953,True,0,good
2025-02-10 06:39:31.107622,1003,OF-2025-0004,6,30.4,7.7,3.9,14.6,4.9,16.5,188.0,845.0,1273.0,52.5,202.0,227.0,214.7,54.2,1.101,True,0,good
2025-02-10 06:40:02.269354,1003,OF-2025-0004,7,30.1,8.0,2.2,19.1,4.1,15.4,156.0,820.0,1334.0,62.5,198.2,228.8,211.3,54.5,0.854,True,0,good
2025-02-10 06:40:31.870712,1003,OF-2025-0004,8,29.9,7.9,2.6,16.4,4.8,15.2,190.0,881.0,1444.0,59.2,206.1,228.2,222.3,51.8,0.817,True,0,good
2025-02-10 06:41:02.442270,1003,OF-2025-0004,9,30.4,5.3,2.5,18.9,4.7,16.4,178.0,863.0,1484.0,60.7,197.9,229.1,210.8,52.5,0.866,True,0,good
2025-02-10 06:41:32.724114,1003,OF-2025-0004,10,29.8,5.4,3.1,15.0,5.6,17.7,178.0,818.0,1386.0,50.6,199.1,230.8,218.5,53.0,1.064,True,0,good
2025-02-10 06:42:03.333813,1003,OF-2025-0004,11,30.5,6.4,3.9,18.7,4.3,19.3,165.0,812.0,1434.0,59.5,196.5,221.5,224.5,53.1,0.973,True,0,good
2025-02-10 06:42:34.550280,1003,OF-2025-0004,12,29.4,5.1,3.8,18.6,5.7,16.6,175.0,819.0,1202.0,50.9,197.8,226.5,220.2,53.4,0.993,True,0,good
2025-02-10 06:43:03.906806,1003,OF-2025-0004,13,30.6,7.8,3.4,14.7,4.1,15.8,187.0,890.0,1333.0,58.7,207.5,226.1,213.9,49.5,1.107,True,0,good
2025-02-10 06:43:35.092747,1003,OF-2025-0004,14,29.0,8.0,3.4,13.2,5.1,18.4,154.0,800.0,1478.0,53.3,208.0,229.3,213.2,51.4,1.048,True,0,good
2025-02-10 06:44:03.932709,1003,OF-2025-0004,15,29.5,6.9,3.2,16.6,5.9,15.7,161.0,855.0,1315.0,63.9,209.6,226.4,211.6,48.2,1.106,True,0,good
2025-02-10 06:44:33.132108,1003,OF-2025-0004,16,30.1,7.8,2.1,14.5,4.3,16.4,191.0,806.0,1336.0,62.1,195.3,230.8,212.0,53.0,1.029,True,0,good
2025-02-10 06:45:02.815258,1003,OF-2025-0004,17,29.8,7.5,3.6,18.1,4.8,17.5,173.0,909.0,1452.0,57.7,203.4,225.3,224.5,50.3,0.985,True,0,good
2025-02-10 06:45:33.550984,1003,OF-2025-0004,18,29.7,5.6,2.7,16.9,4.7,17.8,166.0,811.0,1379.0,53.4,202.9,231.3,219.1,53.0,1.151,True,0,good
2025-02-10 06:46:03.446874,1003,OF-2025-0004,19,29.7,6.3,1.9,17.1,4.5,19.9,167.0,796.0,1489.0,64.6,196.3,227.1,210.7,50.2,0.973,True,0,good
2025-02-10 06:46:33.395083,1003,OF-2025-0004,20,30.9,5.5,2.7,13.3,4.5,18.4,157.0,829.0,1279.0,62.7,209.4,226.9,214.7,53.8,0.828,True,0,good
