quality_check_id,timestamp,production_order_id,machine_erp_ref,product_ref,sample_size,defect_count,defect_type,severity,measured_weight_g,target_weight_g,dimension_deviation_mm,visual_result,comment
QC-0001,2025-02-10 07:23:00,OF-2025-0001,152,REF-BC-001,17,0,,none,12.7,12.5,0.058,ok,Conforme
QC-0002,2025-02-10 08:06:00,OF-2025-0001,152,REF-BC-001,18,0,,none,13.0,12.5,0.018,ok,
QC-0003,2025-02-10 08:49:00,OF-2025-0001,152,REF-BC-001,19,1,flash,minor,12.5,12.5,-0.032,minor_defects,Presence de flash
QC-0004,2025-02-10 09:32:00,OF-2025-0001,152,REF-BC-001,10,0,,none,12.2,12.5,0.075,ok,
QC-0005,2025-02-10 10:15:00,OF-2025-0001,152,REF-BC-001,11,0,,none,12.7,12.5,-0.147,ok,
QC-0006,2025-02-10 10:58:00,OF-2025-0001,152,REF-BC-001,8,0,,none,12.5,12.5,-0.064,ok,Conforme
QC-0007,2025-02-10 14:52:00,OF-2025-0002,152,REF-CF-002,8,0,,none,8.1,8.3,0.015,ok,
QC-0008,2025-02-10 15:29:00,OF-2025-0002,152,REF-CF-002,14,0,,none,8.1,8.3,0.026,ok,
QC-0009,2025-02-10 16:06:00,OF-2025-0002,152,REF-CF-002,14,1,bubbles,minor,7.8,8.3,-0.026,minor_defects,Presence de bubbles
QC-0010,2025-02-10 16:43:00,OF-2025-0002,152,REF-CF-002,15,0,,none,8.6,8.3,-0.025,ok,
QC-0011,2025-02-10 17:20:00,OF-2025-0002,152,REF-CF-002,20,1,flash,minor,8.5,8.3,0.026,minor_defects,Presence de flash
QC-0012,2025-02-10 17:57:00,OF-2025-0002,152,REF-CF-002,18,0,,none,8.3,8.3,-0.017,ok,Conforme
QC-0013,2025-02-10 18:34:00,OF-2025-0002,152,REF-CF-002,8,0,,none,8.6,8.3,0.011,ok,Conforme
QC-0014,2025-02-10 23:33:00,OF-2025-0003,152,REF-BJ-007,12,0,,none,28.4,28.0,-0.065,ok,
QC-0015,2025-02-11 00:23:00,OF-2025-0003,152,REF-BJ-007,17,0,,none,28.0,28.0,0.034,ok,Conforme
QC-0016,2025-02-11 01:13:00,OF-2025-0003,152,REF-BJ-007,19,0,,none,28.1,28.0,0.115,ok,
QC-0017,2025-02-11 02:03:00,OF-2025-0003,152,REF-BJ-007,12,1,bubbles,minor,28.0,28.0,-0.04,minor_defects,Presence de bubbles
QC-0018,2025-02-11 02:53:00,OF-2025-0003,152,REF-BJ-007,10,0,,none,28.0,28.0,-0.064,ok,Conforme
QC-0019,2025-02-11 03:43:00,OF-2025-0003,152,REF-BJ-007,17,0,,none,28.0,28.0,-0.066,ok,Conforme
QC-0020,2025-02-11 04:33:00,OF-2025-0003,152,REF-BJ-007,12,0,,none,28.3,28.0,0.018,ok,Conforme
QC-0021,2025-02-10 07:24:00,OF-2025-0004,1003,REF-GP-010,15,0,,none,38.2,38.0,0.004,ok,
QC-0022,2025-02-10 08:11:00,OF-2025-0004,1003,REF-GP-010,16,1,sink_mark,minor,37.7,38.0,0.004,minor_defects,Presence de sink_mark
QC-0023,2025-02-10 08:58:00,OF-2025-0004,1003,REF-GP-010,15,0,,none,37.7,38.0,0.004,ok,Conforme
QC-0024,2025-02-10 09:45:00,OF-2025-0004,1003,REF-GP-010,13,0,,none,38.0,38.0,0.078,ok,Conforme
QC-0025,2025-02-10 10:32:00,OF-2025-0004,1003,REF-GP-010,18,1,flash,minor,37.9,38.0,0.022,minor_defects,Presence de flash
QC-0026,2025-02-10 11:19:00,OF-2025-0004,1003,REF-GP-010,13,0,,none,38.3,38.0,0.022,ok,Conforme
QC-0027,2025-02-10 14:44:00,OF-2025-0005,1003,REF-SM-004,15,0,,none,85.3,85.0,0.025,ok,Conforme
QC-0028,2025-02-10 15:15:00,OF-2025-0005,1003,REF-SM-004,12,1,flash,minor,84.9,85.0,-0.013,minor_defects,Presence de flash
QC-0029,2025-02-10 15:46:00,OF-2025-0005,1003,REF-SM-004,20,0,,none,84.9,85.0,-0.036,ok,Conforme
QC-0030,2025-02-10 16:17:00,OF-2025-0005,1003,REF-SM-004,13,1,short_shot,minor,85.1,85.0,-0.08,minor_defects,Presence de short_shot
QC-0031,2025-02-10 16:48:00,OF-2025-0005,1003,REF-SM-004,12,0,,none,85.3,85.0,0.005,ok,Conforme
QC-0032,2025-02-10 17:19:00,OF-2025-0005,1003,REF-SM-004,11,0,,none,84.7,85.0,0.011,ok,Conforme
QC-0033,2025-02-10 17:50:00,OF-2025-0005,1003,REF-SM-004,11,1,bubbles,minor,85.0,85.0,-0.074,minor_defects,Presence de bubbles
QC-0034,2025-02-10 18:21:00,OF-2025-0005,1003,REF-SM-004,16,0,,none,85.0,85.0,-0.105,ok,Conforme
QC-0035,2025-02-10 18:52:00,OF-2025-0005,1003,REF-SM-004,8,2,bubbles,minor,85.0,85.0,0.004,minor_defects,Presence de bubbles
QC-0036,2025-02-10 19:23:00,OF-2025-0005,1003,REF-SM-004,14,0,,none,85.1,85.0,0.073,ok,Conforme
QC-0037,2025-02-10 19:54:00,OF-2025-0005,1003,REF-SM-004,19,1,flash,minor,84.6,85.0,-0.033,minor_defects,Presence de flash
QC-0038,2025-02-10 23:14:00,OF-2025-0006,1003,REF-CR-008,10,0,,none,22.5,22.0,0.107,ok,Conforme
QC-0039,2025-02-10 23:53:00,OF-2025-0006,1003,REF-CR-008,20,0,,none,21.9,22.0,-0.045,ok,
QC-0040,2025-02-11 00:32:00,OF-2025-0006,1003,REF-CR-008,12,1,bubbles,minor,21.7,22.0,-0.046,minor_defects,Presence de bubbles
QC-0041,2025-02-11 01:11:00,OF-2025-0006,1003,REF-CR-008,14,1,warpage,minor,22.4,22.0,0.06,minor_defects,Presence de warpage
QC-0042,2025-02-11 01:50:00,OF-2025-0006,1003,REF-CR-008,16,0,,none,22.0,22.0,0.017,ok,Conforme
QC-0043,2025-02-11 02:29:00,OF-2025-0006,1003,REF-CR-008,20,0,,none,22.4,22.0,-0.015,ok,Conforme
QC-0044,2025-02-10 07:22:00,OF-2025-0007,606,REF-BV-005,19,0,,none,65.0,65.0,0.039,ok,Conforme
QC-0045,2025-02-10 08:10:00,OF-2025-0007,606,REF-BV-005,19,0,,none,65.1,65.0,0.014,ok,Conforme
QC-0046,2025-02-10 08:58:00,OF-2025-0007,606,REF-BV-005,19,0,,none,65.0,65.0,-0.006,ok,Conforme
QC-0047,2025-02-10 09:46:00,OF-2025-0007,606,REF-BV-005,9,0,,none,64.8,65.0,-0.009,ok,Conforme
QC-0048,2025-02-10 10:34:00,OF-2025-0007,606,REF-BV-005,13,0,,none,65.2,65.0,-0.025,ok,Conforme
QC-0049,2025-02-10 11:22:00,OF-2025-0007,606,REF-BV-005,16,0,,none,65.1,65.0,-0.024,ok,Conforme
QC-0050,2025-02-10 12:10:00,OF-2025-0007,606,REF-BV-005,12,1,short_shot,minor,64.7,65.0,-0.006,minor_defects,Presence de short_shot
QC-0051,2025-02-10 14:56:00,OF-2025-0008,606,REF-PC-006,20,2,"bubbles,sink_mark",minor,51.5,52.0,0.017,minor_defects,"Defauts multiples: bubbles, sink_mark"
QC-0052,2025-02-10 15:35:00,OF-2025-0008,606,REF-PC-006,17,1,warpage,minor,51.7,52.0,0.009,minor_defects,Presence de warpage
QC-0053,2025-02-10 16:14:00,OF-2025-0008,606,REF-PC-006,8,0,,none,51.7,52.0,0.038,ok,Conforme
QC-0054,2025-02-10 16:53:00,OF-2025-0008,606,REF-PC-006,11,0,,none,52.3,52.0,-0.034,ok,Conforme
QC-0055,2025-02-10 17:32:00,OF-2025-0008,606,REF-PC-006,9,0,,none,51.9,52.0,0.005,ok,
QC-0056,2025-02-10 18:11:00,OF-2025-0008,606,REF-PC-006,11,1,warpage,minor,52.4,52.0,0.042,minor_defects,Presence de warpage
QC-0057,2025-02-10 18:50:00,OF-2025-0008,606,REF-PC-006,15,0,,none,51.5,52.0,-0.044,ok,Conforme
