id;type;titre;auteurs;etablissement;annee;langue;url_notice;url_pdf;licence_ou_statut;fichier_local;pages_ou_parties_utiles;concepts_features_ml
hal-01551840;pdf_local;Pilotage en Injection Plastique – Etat de l’Art;Pierre Nagorny | Eric Pairel | Maurice Pillet;Université Savoie Mont Blanc — laboratoire SYMME;2017;fr;https://hal.science/hal-01551840v1;https://hal.science/hal-01551840/document;CC BY-NC-ND 4.0 déclarée par HAL;pdfs/hal-01551840_pilotage-injection-plastique.pdf;pp. 3-4 cycle injection-maintien-refroidissement | pp. 5-6 modélisation/régulation | pp. 7-10 pilotage;Durées et phases | pression hydraulique/empreinte | température fondu/moule | position/vitesse vis | maintien | refroidissement | dérives cycle à cycle
hal-01551797;pdf_local;Vers un pilotage de la qualité des pièces injectées;Pierre Nagorny | Eric Pairel | Maurice Pillet;Université Savoie Mont Blanc — laboratoire SYMME;2017;fr;https://hal.science/hal-01551797v1;https://hal.science/hal-01551797/document;CC BY-NC-SA 4.0 déclarée par HAL;pdfs/hal-01551797_pilotage-qualite-pieces-injectees.pdf;pp. 3-5 régulation/apprentissage | pp. 5-6 capteurs et plan Plackett-Burman;Température fourreau/fondu | pression maintien/injection | pression moule/buse | force fermeture | durées injection/refroidissement | masse/dimensions | statistiques de courbes
hal-02142331;pdf_local;Contrôle Qualité 2.0 : Apprentissage supervisé de la notion de Qualité, application à l’injection plastique;Pierre Nagorny | Maurice Pillet | Eric Pairel;Université Savoie Mont Blanc — laboratoire SYMME;2019;fr;https://hal.science/hal-02142331v1;https://hal.science/hal-02142331/document;CC BY-NC-SA 4.0 déclarée par HAL;pdfs/hal-02142331_controle-qualite-injection.pdf;pp. 3-5 mesure et capteurs | pp. 5-7 base d’apprentissage/Deep Learning | pp. 6-8 validation;Labels qualité/défauts | image aspect/géométrie | pression/température moule | réglages | dérives | résolution capteur | prévention de fuite de cible
hal-01552111;pdf_local;Quality Prediction in Injection Molding;Pierre Nagorny | Maurice Pillet | Eric Pairel | Ronan Le Goff | Jerôme Loureaux | Wali Marlène | Patrice Kiener;Université Savoie Mont Blanc — SYMME | Pôle Européen de la Plasturgie;2017;en;https://hal.science/hal-01552111v1;https://hal.science/hal-01552111/document;CC BY-NC-ND 4.0 déclarée par HAL;pdfs/hal-01552111_quality-prediction-injection-molding.pdf;pp. 2-3 instrumentation et cycles 30 s | pp. 3-5 descripteurs/thermographie/CNN | pp. 5-6 signaux bruts/LSTM;Signaux pression/température/position à 100 Hz | pics/statistiques | texture Haralick | thermographie | masse/dimension cibles | séries brutes
tel-03927394;fiche_url;Développement d’inserts de moule pour l’injection plastique en acier inoxydable martensitique et en verre métallique massif produits par Laser Beam Melting (LBM);Maxime Limousin;Université de Lyon | École Centrale de Lyon | Laboratoire de Tribologie et Dynamique des Systèmes;2018;fr;https://www.theses.fr/2018LYSEE003 — https://theses.hal.science/tel-03927394v1;https://theses.hal.science/tel-03927394/document;PDF public consultable | HAL indique hal-authorisation-v1 | pas de licence CC;;Ch. 1 pp. 7-10 cycle et contraintes abrasion/corrosion | annexe VI.A p. 73 refroidissement | ch. 5/annexes essais;Cycles et âge insert | charge abrasive | pression/vitesse/température | distance canal-surface | conductivité/dureté | bavure/corrosion/grippage | durée de vie
hal-01798913;fiche_url;Comparaison du comportement thermique des moules d’injection plastique obtenus par stratoconception selon la technique d’assemblage;Eliette Mathey | Luc Penazzi | Fabrice Schmidt | François Ronde Oustau;Centre de Recherche Outillages Matériaux et Procédés | IMT Mines Albi;2003;fr;https://hal.science/hal-01798913v1;https://hal.science/hal-01798913/document;PDF public consultable | HAL indique hal-authorisation-v1 | pas de licence CC;;Comportement thermique et régulation | refroidissement selon assemblage;Température par zone | homogénéité refroidissement | temps vers température éjection | canaux | gauchissement/retrait | dimensions
tel-04651593;fiche_url;Contribution à l’étude du comportement thermique et de la régulation des moules d’injection réalisés par stratoconception;Cyril Pelaingre;Mines Paris–PSL / École nationale supérieure des mines de Paris | CROMeP;2005;fr;https://imt-mines-albi.hal.science/tel-04651593v1;;Notice HAL marquée openAccess=false | pas de PDF copié;;Résumé : canaux de régulation, conductivité, durée de cycle, précision géométrique et réduction du refroidissement;Topologie/distance canaux | débit fluide | température entrée/sortie | conductivité | gradients | temps refroidissement | tolérance/propriétés mécaniques
ENP-P000386;fiche_url;Etude et conception d’un moule d’injection plastique à partir d’une pièce modèle;Cherief El-Hadi;École Nationale Polytechnique d’Alger — Département de Génie Mécanique;2019;fr;https://repository.enp.edu.dz/jspui/handle/123456789/1062;https://repository.enp.edu.dz/jspui/bitstream/123456789/1062/1/CHERIEF.El-hadi.pdf;Dépôt public | licence de réutilisation non indiquée | PDF non copié;;Ch. I pp. 22-36 phases et défauts | ch. II pp. 38-49 moule/refroidissement | ch. V pp. 68-76 pression/force fermeture/températures;Pression injection/empreinte | température matière/moule/éjection | force fermeture/verrouillage | durées | ventilation | retrait | bavure | manque matière | retassure | éjecteurs | fissuration
BATNA2-cours;fiche_url;Chapitre IV — Conception des moules d’injection des matières plastiques;Auteur non indiqué dans le fichier;Université Batna 2 — support enseignant public;non indiqué;fr;https://staff.univ-batna2.dz/sites/default/files/mansouri_naima/files/chapitre-4-conception-moules-injection-matieres-plastiques.pdf;https://staff.univ-batna2.dz/sites/default/files/mansouri_naima/files/chapitre-4-conception-moules-injection-matieres-plastiques.pdf;PDF public | auteur/année et licence non indiqués | PDF non copié;;pp. 6-7 solidification/refroidissement | p. 14 défauts | pp. 17-18 circuits | pp. 20 et 24-25 pression/forces;Température moule/matière | débit refroidissement | pression empreinte | force fermeture | usure éléments | défauts | maintenance moule
FSRM-defauts;fiche_url;Plasturgie : détecter et prévenir les défauts d’injection;FSRM;FSRM — organisme de formation suisse;non indiqué;fr;https://fsrm.ch/doc/c724.php;;Page de présentation d’une formation | supports et droits FSRM | aucune copie;;Écoulement et défauts de surface | recherche systématique des causes | défauts surface/mécaniques/dimensionnels;Taxonomie des défauts | mesures aspect/dimensions | variables écoulement | réglages | cause présumée | action corrective
